Genesis,1,1,In the beginning God created the heavens and the earth.
Genesis,1,2,"The earth was barren, with no form of life; it was under a roaring ocean covered with darkness. But the Spirit of God was moving over the water."
Genesis,1,3,"God said, “I command light to shine!” And light started shining."
Genesis,1,4,God looked at the light and saw that it was good. He separated light from darkness
Genesis,1,5,and named the light “Day” and the darkness “Night”. Evening came and then morning—that was the first day.
Genesis,1,6,"God said, “I command a dome to separate the water above it from the water below it.”"
Genesis,1,7,And that's what happened. God made the dome
Genesis,1,8,and named it “Sky”. Evening came and then morning—that was the second day.
Genesis,1,9,"God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened."
Genesis,1,10,"God named the dry ground “Land”, and he named the water “Sea”. God looked at what he had done and saw that it was good."
Genesis,1,11,"God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened."
Genesis,1,12,"The earth produced all kinds of vegetation. God looked at what he had done, and it was good."
Genesis,1,13,Evening came and then morning—that was the third day.
Genesis,1,14,"God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years."
Genesis,1,15,I command them to shine on the earth.” And that's what happened.
Genesis,1,16,"God made two powerful lights, the brighter one to rule the day and the other to rule the night. He also made the stars."
Genesis,1,17,"Then God put these lights in the sky to shine on the earth,"
Genesis,1,18,"to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good."
Genesis,1,19,Evening came and then morning—that was the fourth day.
Genesis,1,20,"God said, “I command the sea to be full of living creatures, and I command birds to fly above the earth.”"
Genesis,1,21,"So God made the giant sea monsters and all the living creatures that swim in the sea. He also made every kind of bird. God looked at what he had done, and it was good."
Genesis,1,22,Then he gave the living creatures his blessing—he told the sea creatures to live everywhere in the sea and the birds to live everywhere on earth.
Genesis,1,23,Evening came and then morning—that was the fifth day.
Genesis,1,24,"God said, “I command the earth to give life to all kinds of tame animals, wild animals, and reptiles.” And that's what happened."
Genesis,1,25,"God made every one of them. Then he looked at what he had done, and it was good."
Genesis,1,26,"God said, “Now we will make humans, and they will be like us. We will let them rule the fish, the birds, and all other living creatures.”"
Genesis,1,27,So God created humans to be like himself; he made men and women.
Genesis,1,28,"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the sea, the birds in the sky, and every animal on the earth."
Genesis,1,29,I have provided all kinds of fruit and grain for you to eat.
Genesis,1,30,"And I have given the green plants as food for everything else that breathes. These will be food for animals, both wild and tame, and for birds."
Genesis,1,31,God looked at what he had done. All of it was very good! Evening came and then morning—that was the sixth day.
Genesis,2,1,So the heavens and the earth and everything else were created.
Genesis,2,2,"By the seventh day God had finished his work, and so he rested."
Genesis,2,3,God blessed the seventh day and made it special because on that day he rested from his work.
Genesis,2,4,"That's how God created the heavens and the earth. When the LORD God made the heavens and the earth,"
Genesis,2,5,"no grass or plants were growing anywhere. God had not yet sent any rain, and there was no one to work the land."
Genesis,2,6,But streams came up from the ground and watered the earth.
Genesis,2,7,"The LORD God took a handful of soil and made a man. God breathed life into the man, and the man started breathing."
Genesis,2,8,"The LORD made a garden in a place called Eden, which was in the east, and he put the man there."
Genesis,2,9,The LORD God placed all kinds of beautiful trees and fruit trees in the garden. Two other trees were in the middle of the garden. One of the trees gave life—the other gave the power to know the difference between right and wrong.
Genesis,2,10,"From Eden a river flowed out to water the garden, then it divided into four rivers."
Genesis,2,11,"The first one is the River Pishon that flows through the land of Havilah,"
Genesis,2,12,"where pure gold, rare perfumes, and precious stones are found."
Genesis,2,13,The second is the River Gihon that winds through Ethiopia.
Genesis,2,14,"The River Tigris that flows east of Assyria is the third, and the fourth is the River Euphrates."
Genesis,2,15,The LORD God put the man in the Garden of Eden to take care of it and to look after it.
Genesis,2,16,"But the LORD told him, “You may eat fruit from any tree in the garden,"
Genesis,2,17,"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”"
Genesis,2,18,"The LORD God said, “It isn't good for the man to live alone. I need to make a suitable partner for him.”"
Genesis,3,1,"The snake was more cunning than any of the other wild animals that the LORD God had made. One day it came to the woman and asked, “Did God tell you not to eat fruit from any tree in the garden?”"
Genesis,3,2,"The woman answered, “God said we could eat fruit from any tree in the garden,"
Genesis,3,3,"except the one in the middle. He told us not to eat fruit from that tree or even to touch it. If we do, we will die.”"
Genesis,3,4,"“No, you won't!” the snake replied."
Genesis,3,5,"“God understands what will happen on the day you eat fruit from that tree. You will see what you have done, and you will know the difference between right and wrong, just as God does.”"
Genesis,3,6,"The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too."
Genesis,3,7,"Straight away they saw what they had done, and they realized they were naked. Then they sewed fig leaves together to make something to cover themselves."
Genesis,3,8,"Late in the afternoon a breeze began to blow, and the man and woman heard the LORD God walking in the garden. They were frightened and hid behind some trees."
Genesis,3,9,"The LORD called out to the man and asked, “Where are you?”"
Genesis,3,10,"The man answered, “I was naked, and when I heard you walking through the garden, I was frightened and hid!”"
Genesis,3,11,“How did you know you were naked?” God asked. “Did you eat any fruit from that tree in the middle of the garden?”
Genesis,3,12,"“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”"
